# Time(s)	M1_INC_Duty(%)	M1_INC_Duty(D)	M2_Fuzzy_Duty(%)	M2_Fuzzy_Duty(D)	M1_Pin(W)	M2_Pin(W)	Target_GMPP(W)
12.4771	13.65	0.1365	29.75	0.2975	26.83	128.83	142.53
12.5994	13.56	0.1356	29.85	0.2985	26.22	129.55	142.53
12.7217	13.47	0.1347	29.96	0.2996	25.61	130.28	142.53
12.8440	14.27	0.1427	30.06	0.3006	25.61	131.00	142.53
12.9664	14.27	0.1427	30.17	0.3017	25.61	131.72	142.53
13.0887	14.27	0.1427	30.17	0.3017	25.61	131.72	142.53
13.2110	13.56	0.1356	30.27	0.3027	26.22	132.44	142.53
13.3333	13.65	0.1365	30.27	0.3027	26.83	132.44	142.53
13.4557	13.75	0.1375	30.38	0.3038	27.44	133.16	142.53
13.5780	13.75	0.1375	30.38	0.3038	27.44	133.16	142.53
13.7003	14.55	0.1455	30.48	0.3048	27.44	133.88	142.53
13.8226	14.55	0.1455	30.48	0.3048	27.44	133.88	142.53
13.9450	14.55	0.1455	30.48	0.3048	27.44	133.88	142.53
14.0673	13.75	0.1375	30.48	0.3048	27.44	133.88	142.53
14.1896	13.84	0.1384	30.48	0.3048	28.05	133.88	142.53
14.3119	14.02	0.1402	30.50	0.3050	29.27	134.60	142.53
14.4343	15.10	0.1510	30.50	0.3050	31.10	134.60	142.53
14.5566	15.84	0.1584	30.50	0.3050	35.98	134.60	142.53
14.6789	15.93	0.1593	30.50	0.3050	36.59	134.60	142.53
14.8012	15.22	0.1522	30.50	0.3050	37.20	134.60	142.53
14.9235	15.22	0.1522	30.50	0.3050	37.20	134.60	142.53
15.0459	16.30	0.1630	30.38	0.3038	37.20	134.60	142.53
15.1682	16.30	0.1630	30.38	0.3038	37.20	134.60	142.53
15.2905	16.30	0.1630	30.38	0.3038	37.20	134.60	142.53
15.4128	17.30	0.1730	30.38	0.3038	37.80	134.60	142.53
15.5352	17.30	0.1730	30.39	0.3039	37.80	134.60	142.53
15.6575	17.30	0.1730	30.39	0.3039	37.80	134.70	142.53
15.7798	16.30	0.1630	30.40	0.3040	37.80	134.81	142.53
15.9021	16.30	0.1630	30.41	0.3041	37.80	134.91	142.53
16.0245	17.30	0.1730	30.42	0.3042	37.80	135.01	142.53
16.1468	17.30	0.1730	30.43	0.3043	37.80	135.12	142.53
16.2691	17.30	0.1730	30.45	0.3045	37.80	135.22	142.53
16.3914	16.30	0.1630	30.46	0.3046	37.80	135.32	142.53
16.5138	16.30	0.1630	30.47	0.3047	37.80	135.42	142.53
16.6361	16.30	0.1630	30.48	0.3048	39.02	135.53	142.53
16.7584	17.30	0.1730	30.49	0.3049	39.63	135.63	142.53
16.8807	17.30	0.1730	30.50	0.3050	40.85	135.73	142.53
17.0031	16.30	0.1630	30.51	0.3051	42.07	135.84	142.53
17.1254	16.30	0.1630	30.52	0.3052	42.68	135.94	142.53
17.2477	16.30	0.1630	30.52	0.3052	42.68	136.04	142.53
17.3700	17.30	0.1730	30.53	0.3053	42.68	136.04	142.53
17.4924	17.30	0.1730	30.54	0.3054	42.68	136.04	142.53
17.6147	17.30	0.1730	30.54	0.3054	42.68	136.15	142.53
17.7370	16.30	0.1630	30.55	0.3055	42.68	136.25	142.53
17.8593	16.30	0.1630	30.56	0.3056	42.68	136.35	142.53
17.9817	16.30	0.1630	30.57	0.3057	42.68	136.45	142.53
18.1040	17.30	0.1730	30.59	0.3059	42.68	136.56	142.53
18.2263	17.30	0.1730	30.59	0.3059	43.29	136.66	142.53
18.3486	16.30	0.1630	30.60	0.3060	44.51	136.76	142.53
18.4709	16.32	0.1632	30.60	0.3060	45.12	136.76	142.53
18.5933	16.43	0.1643	30.61	0.3061	45.73	136.76	142.53
18.7156	17.54	0.1754	30.61	0.3061	46.34	136.76	142.53
18.8379	17.65	0.1765	30.61	0.3061	46.95	136.76	142.53
18.9602	17.76	0.1776	30.62	0.3062	47.56	136.87	142.53
19.0826	16.98	0.1698	30.63	0.3063	48.78	136.97	142.53
19.2049	17.08	0.1708	30.65	0.3065	49.39	137.07	142.53
19.3272	17.52	0.1752	30.66	0.3066	51.83	137.28	142.53
19.4495	18.96	0.1896	30.68	0.3068	54.27	137.48	142.53
19.5719	19.61	0.1961	30.70	0.3070	57.93	137.69	142.53
19.6942	18.94	0.1894	30.72	0.3072	59.76	137.90	142.53
19.8165	19.26	0.1926	30.74	0.3074	61.59	138.00	142.53
19.9388	19.37	0.1937	30.75	0.3075	62.20	138.10	142.53
20.0612	21.24	0.2124	30.76	0.3076	67.07	138.31	142.53
20.1835	21.57	0.2157	30.78	0.3078	68.90	138.41	142.53
20.3058	22.99	0.2299	30.80	0.3080	76.83	138.51	142.53
20.4281	23.40	0.2340	30.81	0.3081	84.76	138.72	142.53
20.5505	24.38	0.2438	30.83	0.3083	90.24	138.93	142.53
20.6728	27.02	0.2702	30.85	0.3085	99.39	139.13	142.53
20.7951	27.77	0.2777	30.87	0.3087	103.60	139.34	142.53
20.9174	28.80	0.2880	30.89	0.3089	109.37	139.44	142.53
21.0398	28.45	0.2845	30.91	0.3091	112.98	139.65	142.53
21.1621	28.96	0.2896	30.92	0.3092	115.86	139.85	142.53
21.2844	29.47	0.2947	30.94	0.3094	118.74	139.96	142.53
21.4067	30.60	0.3060	30.95	0.3095	119.46	140.06	142.53
21.5291	30.60	0.3060	30.96	0.3096	119.46	140.16	142.53
21.6514	30.60	0.3060	30.97	0.3097	119.46	140.26	142.53
21.7737	29.35	0.2935	30.98	0.3098	118.02	140.37	142.53
21.8960	29.09	0.2909	30.98	0.3098	116.58	140.37	142.53
22.0183	29.70	0.2970	30.98	0.3098	114.42	140.37	142.53
22.1407	28.93	0.2893	30.98	0.3098	110.09	140.37	142.53
22.2630	28.54	0.2854	30.98	0.3098	107.93	140.37	142.53
22.3853	27.29	0.2729	30.98	0.3098	106.49	140.37	142.53
22.5076	26.77	0.2677	30.98	0.3098	103.60	140.37	142.53
22.6300	26.51	0.2651	30.97	0.3097	102.16	140.26	142.53
22.7523	27.26	0.2726	30.96	0.3096	100.72	140.16	142.53
22.8746	27.13	0.2713	30.95	0.3095	100.00	140.06	142.53
22.9969	26.69	0.2669	30.93	0.3093	97.56	139.96	142.53
23.1193	29.20	0.2920	30.92	0.3092	97.56	139.75	142.53
23.2416	29.00	0.2900	30.90	0.3090	97.56	139.54	142.53
23.3639	29.20	0.2920	30.88	0.3088	97.56	139.34	142.53
23.4862	29.00	0.2900	30.86	0.3086	99.39	139.23	142.53
23.6086	29.20	0.2920	30.84	0.3084	101.44	139.03	142.53
23.7309	29.00	0.2900	30.82	0.3082	107.21	138.82	142.53
23.8532	29.20	0.2920	30.81	0.3081	112.98	138.62	142.53
23.9755	29.00	0.2900	30.79	0.3079	116.58	138.51	142.53
24.0979	29.56	0.2956	30.78	0.3078	120.18	138.41	142.53
24.2202	30.00	0.3000	30.77	0.3077	122.35	138.31	142.53
24.3425	30.14	0.3014	30.76	0.3076	125.23	138.20	142.53
24.4648	30.50	0.3050	30.76	0.3076	126.67	138.20	142.53
24.5872	30.39	0.3039	30.75	0.3075	127.39	138.20	142.53
24.7095	30.50	0.3050	30.74	0.3074	128.11	138.10	142.53
24.8318	30.56	0.3056	30.74	0.3074	128.83	138.00	142.53
24.9541	30.50	0.3050	30.73	0.3073	128.83	137.90	142.53
25.0765	30.89	0.3089	30.71	0.3071	131.72	137.79	142.53
25.1988	31.00	0.3100	30.70	0.3070	131.72	137.69	142.53
25.3211	31.06	0.3106	30.70	0.3070	133.16	137.59	142.53
25.4434	31.00	0.3100	30.69	0.3069	133.16	137.48	142.53
25.5657	31.06	0.3106	30.68	0.3068	133.16	137.48	142.53
25.6881	31.00	0.3100	30.68	0.3068	133.16	137.48	142.53
25.8104	30.97	0.3097	30.68	0.3068	132.44	137.48	142.53
25.9327	31.00	0.3100	30.68	0.3068	131.00	137.48	142.53
26.0550	30.72	0.3072	30.68	0.3068	130.28	137.48	142.53
26.1774	30.50	0.3050	30.68	0.3068	128.83	137.48	142.53
26.2997	30.56	0.3056	30.68	0.3068	128.83	137.48	142.53
26.4220	30.50	0.3050	30.68	0.3068	128.83	137.48	142.53
26.5443	30.64	0.3064	30.69	0.3069	129.55	137.48	142.53
26.6667	30.50	0.3050	30.70	0.3070	128.83	137.59	142.53
26.7890	30.64	0.3064	30.70	0.3070	129.55	137.69	142.53
26.9113	31.00	0.3100	30.71	0.3071	133.88	137.79	142.53
27.0336	31.22	0.3122	30.73	0.3073	134.60	137.90	142.53
27.1560	31.50	0.3150	30.74	0.3074	135.32	138.00	142.53
27.2783	31.39	0.3139	30.74	0.3074	136.04	138.10	142.53
27.4006	31.50	0.3150	30.75	0.3075	136.04	138.20	142.53
27.5229	31.30	0.3130	30.76	0.3076	135.32	138.20	142.53
27.6453	31.00	0.3100	30.76	0.3076	134.60	138.20	142.53
27.7676	31.22	0.3122	30.76	0.3076	134.60	138.20	142.53
27.8899	31.00	0.3100	30.76	0.3076	134.60	138.20	142.53
28.0122	31.14	0.3114	30.76	0.3076	133.88	138.20	142.53
28.1346	31.00	0.3100	30.76	0.3076	133.16	138.20	142.53
28.2569	30.72	0.3072	30.76	0.3076	130.28	138.20	142.53
28.3792	30.50	0.3050	30.76	0.3076	127.39	138.20	142.53
28.5015	30.06	0.3006	30.76	0.3076	124.51	138.20	142.53
28.6239	30.00	0.3000	30.76	0.3076	123.07	138.20	142.53
28.7462	29.81	0.2981	30.76	0.3076	122.35	138.20	142.53
28.8685	30.00	0.3000	30.76	0.3076	122.35	138.20	142.53
28.9908	29.81	0.2981	30.76	0.3076	122.35	138.20	142.53
29.1131	30.00	0.3000	30.77	0.3077	122.35	138.31	142.53
29.2355	30.23	0.3023	30.78	0.3078	125.95	138.41	142.53
29.3578	30.50	0.3050	30.79	0.3079	128.83	138.51	142.53
29.4801	31.06	0.3106	30.80	0.3080	133.16	138.62	142.53
29.6024	31.50	0.3150	30.81	0.3081	135.32	138.72	142.53
29.7248	31.30	0.3130	30.82	0.3082	135.32	138.82	142.53
29.8471	31.50	0.3150	30.83	0.3083	135.32	138.93	142.53
29.9694	31.30	0.3130	30.83	0.3083	135.32	138.93	142.53
30.0917	31.00	0.3100	30.84	0.3084	131.00	138.93	142.53
30.2141	30.56	0.3056	30.84	0.3084	128.83	138.93	142.53
30.3364	30.00	0.3000	30.86	0.3086	125.95	139.03	142.53
30.4587	30.23	0.3023	30.89	0.3089	125.95	139.13	142.53
30.5810	30.00	0.3000	30.93	0.3093	125.95	139.76	142.53
30.7034	30.23	0.3023	30.99	0.3099	125.95	140.40	142.53
30.8257	31.00	0.3100	31.05	0.3105	131.00	141.03	142.53
30.9480	31.22	0.3122	31.11	0.3111	134.60	141.66	142.53
31.0703	31.50	0.3150	31.15	0.3115	136.04	142.29	142.53
31.1927	31.39	0.3139	31.16	0.3116	136.04	142.29	142.53
31.3150	31.50	0.3150	31.15	0.3115	136.04	142.29	142.53
31.4373	31.39	0.3139	31.12	0.3112	136.04	141.76	142.53
31.5596	31.50	0.3150	31.08	0.3108	136.04	141.23	142.53
31.6820	30.97	0.3097	31.02	0.3102	132.44	140.71	142.53
31.8043	30.50	0.3050	30.98	0.3098	129.55	140.18	142.53
31.9266	30.39	0.3039	30.94	0.3094	127.39	139.65	142.53
32.0489	30.50	0.3050	30.92	0.3092	127.39	139.65	142.53
32.1713	30.39	0.3039	30.91	0.3091	127.39	139.65	142.53
32.2936	30.50	0.3050	30.91	0.3091	128.11	139.65	142.53
32.4159	30.47	0.3047	30.91	0.3091	128.11	139.65	142.53
32.5382	31.00	0.3100	30.91	0.3091	132.44	139.65	142.53
32.6606	31.30	0.3130	30.91	0.3091	135.32	139.65	142.53
32.7829	31.50	0.3150	30.91	0.3091	136.04	139.65	142.53
32.9052	31.39	0.3139	30.91	0.3091	136.04	139.65	142.53
33.0275	31.50	0.3150	30.91	0.3091	136.04	139.65	142.53
33.1498	31.39	0.3139	30.91	0.3091	136.04	139.65	142.53
33.2722	31.50	0.3150	30.91	0.3091	135.32	139.65	142.53
33.3945	30.97	0.3097	30.91	0.3091	132.44	139.65	142.53
33.5168	31.00	0.3100	30.91	0.3091	132.44	139.65	142.53
33.6391	30.97	0.3097	30.91	0.3091	132.44	139.65	142.53
33.7615	31.00	0.3100	30.92	0.3092	132.44	139.65	142.53
33.8838	30.97	0.3097	30.92	0.3092	132.44	139.75	142.53
34.0061	31.00	0.3100	30.93	0.3093	134.60	139.85	142.53
34.1284	31.47	0.3147	30.94	0.3094	136.76	139.96	142.53
34.2508	32.00	0.3200	30.95	0.3095	141.09	140.06	142.53
34.3731	32.23	0.3223	30.96	0.3096	143.35	140.16	142.53
34.4954	32.50	0.3250	30.97	0.3097	145.41	140.26	142.53
34.6177	32.46	0.3246	30.98	0.3098	145.41	140.37	142.53
34.7401	32.50	0.3250	30.98	0.3098	145.41	140.37	142.53
34.8624	32.46	0.3246	30.98	0.3098	145.41	140.37	142.53
34.9847	32.50	0.3250	30.98	0.3098	144.17	140.37	142.53
35.1070	31.88	0.3188	30.98	0.3098	140.37	140.37	142.53
35.2294	31.50	0.3150	30.98	0.3098	137.48	140.37	142.53
35.3517	31.39	0.3139	30.99	0.3099	136.04	140.37	142.53
35.4740	31.00	0.3100	31.01	0.3101	134.60	140.37	142.53
35.5963	31.22	0.3122	31.02	0.3102	134.60	140.79	142.53
35.7187	31.00	0.3100	31.05	0.3105	134.60	141.00	142.53
35.8410	31.30	0.3130	31.07	0.3107	135.32	141.21	142.53
35.9633	31.50	0.3150	31.09	0.3109	136.04	141.41	142.53
36.0856	31.72	0.3172	31.11	0.3111	138.93	141.62	142.53
36.2080	32.00	0.3200	31.11	0.3111	139.65	141.72	142.53
36.3303	31.80	0.3180	31.10	0.3110	139.65	141.72	142.53
36.4526	32.00	0.3200	31.09	0.3109	139.65	141.29	142.53
36.5749	31.80	0.3180	31.06	0.3106	139.65	141.09	142.53
36.6972	31.50	0.3150	31.04	0.3104	138.93	140.88	142.53
36.8196	31.47	0.3147	31.02	0.3102	136.76	140.68	142.53
36.9419	31.00	0.3100	31.00	0.3100	133.16	140.47	142.53
37.0642	30.81	0.3081	30.99	0.3099	131.00	140.37	142.53
37.1865	30.50	0.3050	30.99	0.3099	130.28	140.37	142.53
37.3089	30.72	0.3072	30.98	0.3098	130.28	140.37	142.53
37.4312	30.50	0.3050	30.98	0.3098	130.28	140.37	142.53
37.5535	30.89	0.3089	30.98	0.3098	131.72	140.37	142.53
37.6758	31.50	0.3150	30.98	0.3098	135.32	140.37	142.53
37.7982	31.47	0.3147	30.98	0.3098	136.76	140.37	142.53
37.9205	31.50	0.3150	30.98	0.3098	136.76	140.37	142.53
38.0428	31.47	0.3147	30.98	0.3098	136.76	140.37	142.53
38.1651	31.50	0.3150	30.98	0.3098	136.76	140.37	142.53
38.2875	31.47	0.3147	30.98	0.3098	136.76	140.37	142.53
38.4098	31.00	0.3100	30.98	0.3098	132.44	140.37	142.53
38.5321	30.81	0.3081	30.99	0.3099	131.00	140.37	142.53
38.6544	30.50	0.3050	31.01	0.3101	130.28	140.37	142.53
38.7768	30.72	0.3072	31.04	0.3104	130.28	140.79	142.53
38.8991	30.50	0.3050	31.07	0.3107	130.28	141.22	142.53
39.0214	30.72	0.3072	31.11	0.3111	130.28	141.65	142.53
39.1437	31.00	0.3100	31.14	0.3114	133.16	142.07	142.53
39.2661	31.39	0.3139	31.15	0.3115	136.04	142.07	142.53
39.3884	31.50	0.3150	31.15	0.3115	136.76	142.07	142.53
39.5107	31.47	0.3147	31.14	0.3114	136.76	142.07	142.53
39.6330	31.50	0.3150	31.11	0.3111	136.76	141.65	142.53
39.7554	31.47	0.3147	31.07	0.3107	136.76	141.22	142.53
39.8777	31.50	0.3150	31.04	0.3104	136.04	140.79	142.53
40.0000	30.89	0.3089	31.01	0.3101	131.72	140.37	142.53
40.1223	31.00	0.3100	30.99	0.3099	131.72	140.37	142.53
40.2446	30.89	0.3089	30.99	0.3099	131.72	140.37	142.53
40.3670	31.00	0.3100	31.01	0.3101	131.72	140.37	142.53
40.4893	31.14	0.3114	31.04	0.3104	133.88	140.79	142.53
40.6116	31.50	0.3150	31.07	0.3107	136.04	141.22	142.53
40.7339	31.80	0.3180	31.11	0.3111	139.65	141.65	142.53
40.8563	32.00	0.3200	31.14	0.3114	139.65	142.07	142.53
40.9786	31.80	0.3180	31.15	0.3115	139.65	142.07	142.53
41.1009	32.00	0.3200	31.15	0.3115	139.65	142.07	142.53
41.2232	31.80	0.3180	31.14	0.3114	139.65	142.07	142.53
41.3456	32.00	0.3200	31.11	0.3111	139.65	141.65	142.53
41.4679	31.47	0.3147	31.07	0.3107	136.76	141.22	142.53
41.5902	31.00	0.3100	31.04	0.3104	134.60	140.79	142.53
41.7125	30.89	0.3089	31.01	0.3101	131.72	140.37	142.53
41.8349	31.00	0.3100	30.99	0.3099	131.72	140.37	142.53
41.9572	30.89	0.3089	30.98	0.3098	131.72	140.37	142.53
42.0795	31.00	0.3100	30.98	0.3098	131.72	140.37	142.53
42.2018	30.89	0.3089	30.98	0.3098	131.72	140.37	142.53
42.3242	31.00	0.3100	30.98	0.3098	131.72	140.37	142.53
42.4465	30.89	0.3089	30.99	0.3099	131.72	140.37	142.53
42.5688	31.00	0.3100	30.99	0.3099	131.72	140.37	142.53
42.6911	30.89	0.3089	31.00	0.3100	131.72	140.47	142.53
42.8135	31.00	0.3100	31.03	0.3103	131.72	140.57	142.53
42.9358	30.97	0.3097	31.06	0.3106	132.44	141.00	142.53
43.0581	31.00	0.3100	31.10	0.3110	133.88	141.43	142.53
43.1804	31.30	0.3130	31.14	0.3114	135.32	141.85	142.53
43.3028	31.50	0.3150	31.17	0.3117	136.76	142.28	142.53
43.4251	31.80	0.3180	31.20	0.3120	139.65	142.71	142.53
43.5474	32.00	0.3200	31.21	0.3121	139.65	142.81	142.53
43.6697	31.80	0.3180	31.21	0.3121	139.65	142.91	142.53
43.7920	32.00	0.3200	31.21	0.3121	139.65	142.69	142.53
43.9144	31.88	0.3188	31.20	0.3120	140.37	142.47	142.53
44.0367	31.50	0.3150	31.19	0.3119	138.20	142.35	142.53
44.1590	31.06	0.3106	31.18	0.3118	133.16	142.24	142.53
44.2813	30.50	0.3050	31.18	0.3118	129.55	142.12	142.53
44.4037	30.23	0.3023	31.18	0.3118	125.95	142.22	142.53
44.5260	30.00	0.3000	31.19	0.3119	125.23	142.32	142.53
44.6483	30.14	0.3014	31.20	0.3120	125.23	142.43	142.53
44.7706	30.00	0.3000	31.21	0.3121	125.23	142.65	142.53
44.8930	30.14	0.3014	31.21	0.3121	125.23	142.76	142.53
45.0153	30.50	0.3050	31.22	0.3122	129.55	142.88	142.53
45.1376	30.97	0.3097	31.22	0.3122	132.44	143.00	142.53
45.2599	31.50	0.3150	31.23	0.3123	136.04	143.12	142.53
45.3823	31.97	0.3197	31.23	0.3123	141.09	143.23	142.53
45.5046	32.00	0.3200	31.23	0.3123	141.81	143.35	142.53
45.6269	32.05	0.3205	31.23	0.3123	141.81	143.35	142.53
45.7492	32.00	0.3200	31.22	0.3122	141.81	143.13	142.53
45.8716	31.88	0.3188	31.22	0.3122	140.37	142.91	142.53
45.9939	31.50	0.3150	31.21	0.3121	137.48	142.69	142.53
46.1162	31.39	0.3139	31.20	0.3120	136.04	142.47	142.53
46.2385	31.00	0.3100	31.18	0.3118	133.16	142.25	142.53
46.3609	31.06	0.3106	31.17	0.3117	133.16	142.03	142.53
46.4832	31.00	0.3100	31.16	0.3116	133.16	141.81	142.53
46.6055	31.06	0.3106	31.17	0.3117	133.16	142.03	142.53
46.7278	31.50	0.3150	31.18	0.3118	136.04	142.25	142.53
46.8502	31.80	0.3180	31.19	0.3119	139.65	142.47	142.53
46.9725	32.00	0.3200	31.20	0.3120	140.37	142.69	142.53
47.0948	31.88	0.3188	31.20	0.3120	140.37	142.59	142.53
47.2171	32.00	0.3200	31.19	0.3119	140.37	142.48	142.53
47.3394	31.97	0.3197	31.17	0.3117	141.09	142.28	142.53
47.4618	31.50	0.3150	31.14	0.3114	137.48	141.85	142.53
47.5841	31.22	0.3122	31.10	0.3110	134.60	141.43	142.53
47.7064	31.00	0.3100	31.06	0.3106	131.72	141.00	142.53
47.8287	30.89	0.3089	31.03	0.3103	131.72	140.57	142.53
47.9511	31.00	0.3100	31.00	0.3100	131.72	140.47	142.53
48.0734	30.89	0.3089	30.99	0.3099	131.72	140.37	142.53
